Date,HomeTeam,AwayTeam,HomePPG,HomeOE,HomePIP,HomeFBP,HomeTP,HomeFTP,HomeTRB,HomeFPG,HomeOPPG,HomeDE,HomeOPIP,HomeOFBP,HomeOTP,HomeOTRB,HomeOFPG,HomePoss,HomeEPR,HomeOEPR,AwayPPG,AwayOE,AwayPIP,AwayFBP,AwayTP,AwayFTP,AwayTRB,AwayFPG,AwayOPPG,AwayDE,AwayOPIP,AwayOFBP,AwayOTP,AwayOTRB,AwayOFPG,AwayPoss,AwayEPR,AwayOEPR,HomeBackToBack,AwayBackToBack
"Tue, Oct 24, 2023",Denver,LA Lakers,115.9,1.165,53.9,15.8,38.1,78.4,52.3,18.3,107.8,1.083,47.6,13.9,35.2,48.6,18.4,99.5,0.978,0.982,116.4,1.11,54.4,17.7,36.5,77.5,51.4,15.9,118.3,1.129,51.8,17.1,37.3,51.6,20.1,104.8,0.945,0.982,0.0,0.0
"Tue, Oct 24, 2023",Golden State,Phoenix,117.5,1.137,47.9,12.0,37.6,79.3,54.6,19.1,116.8,1.13,50.0,14.3,37.2,51.1,18.4,103.3,0.984,0.983,115.6,1.135,46.7,13.3,37.6,80.5,51.8,17.7,113.5,1.115,49.6,14.3,36.2,49.3,19.0,101.8,0.955,0.985,0.0,0.0
"Wed, Oct 25, 2023",Orlando,Houston,112.4,1.123,52.6,12.4,35.4,78.0,52.4,19.5,103.6,1.035,45.9,13.4,33.6,45.9,20.2,100.1,0.959,0.934,112.7,1.085,49.1,16.2,33.1,76.1,54.6,21.9,115.8,1.115,48.6,12.2,36.0,54.6,20.2,103.9,0.99,0.972,0.0,0.0
"Wed, Oct 25, 2023",New York,Boston,111.7,1.142,48.3,14.8,36.8,77.0,54.6,17.2,106.1,1.085,45.8,12.6,36.5,48.4,19.5,97.8,1.006,0.971,115.7,1.163,45.4,13.7,37.0,78.6,53.2,16.1,108.8,1.095,48.8,12.8,35.9,50.3,17.4,99.4,0.986,0.99,0.0,0.0
"Wed, Oct 25, 2023",Indiana,Washington,124.0,1.191,57.2,16.7,38.2,81.8,49.9,21.6,116.6,1.12,54.4,13.0,35.8,50.1,18.0,104.1,0.973,0.97,114.7,1.07,54.4,19.2,35.9,75.2,48.6,20.0,124.2,1.159,60.3,16.2,36.3,57.8,18.7,107.2,0.96,0.971,0.0,0.0
"Wed, Oct 25, 2023",Charlotte,Atlanta,108.1,1.075,48.4,12.9,35.7,79.5,47.5,18.1,116.1,1.155,54.5,11.6,35.7,51.6,17.6,100.5,0.95,0.975,114.8,1.111,47.0,12.9,35.7,78.9,52.0,18.5,120.5,1.166,52.1,16.4,38.4,52.4,19.5,103.3,0.989,0.972,0.0,0.0
"Wed, Oct 25, 2023",Miami,Detroit,111.0,1.118,48.5,13.5,37.5,82.7,49.5,16.8,109.5,1.103,46.2,13.7,36.2,49.1,18.7,99.2,0.969,0.953,109.5,1.054,49.3,14.5,34.9,77.7,51.1,20.5,119.6,1.152,53.6,14.4,37.5,51.9,17.8,103.8,0.959,0.968,0.0,0.0
"Wed, Oct 25, 2023",Toronto,Minnesota,110.4,1.08,55.3,20.7,33.0,74.1,51.3,17.7,116.4,1.139,53.2,15.6,37.8,52.3,18.2,102.2,0.975,0.974,113.1,1.134,51.4,12.3,38.4,79.0,50.8,19.9,108.2,1.086,46.1,12.7,36.9,48.3,19.7,99.7,0.969,0.956,0.0,0.0
"Wed, Oct 25, 2023",Brooklyn,Cleveland,112.2,1.118,48.1,14.2,37.1,76.3,52.8,18.4,111.0,1.105,47.5,13.7,35.9,51.8,18.5,100.4,0.992,0.974,109.0,1.084,49.3,13.8,34.9,77.1,49.8,18.5,109.8,1.092,47.2,14.7,36.1,52.1,19.0,100.5,0.953,0.968,0.0,0.0
"Wed, Oct 25, 2023",Memphis,New Orleans,104.0,1.025,45.3,11.2,34.4,75.0,50.2,19.1,111.3,1.098,47.7,15.0,37.7,53.9,18.7,101.4,0.96,0.941,114.2,1.14,49.6,13.6,39.2,77.8,51.7,18.2,109.9,1.097,45.5,13.8,34.8,48.4,18.1,100.2,0.971,0.96,0.0,0.0
